"category","project","external_id","name","kind","status","reference_xyz","tp_command","reference_type","derived","geometry_type","geometry_extent","parent","database_id"
"Surface builds","Mainstreet America","P01-DISCOVERY-COURT","Mountain Discovery Court","landmark","complete","91, 67, 196","/tp @s 91 67 196","derived bounds center","true","bounds","x[87…95] y[64…70] z[183…209]","Visitor parking and Arrival Gardens","wft_9b0606944194cb41"
"Surface builds","Mainstreet America","GRID-E2-BUILDING","Neighborhood Clubhouse","building","complete","120, 80, -8","/tp @s 120 80 -8","derived bounds center","true","bounds","x[105…135] y[70…90] z[-33…16]","Neighborhood Clubhouse and Walled Garden","wft_a760cbd43c16581c"
"Surface builds","Mainstreet America","GRID-E2-GREAT-ROOM","Neighborhood great room","room","complete","120, 85, 3","/tp @s 120 85 3","derived bounds center","true","bounds","x[107…133] y[81…89] z[-3…9]","Neighborhood Clubhouse","wft_211e9fb94af35a03"
"Surface builds","Mainstreet America","L01","Rear detention pond","landscape","complete","190, ~, -250","/tp @s 190 ~ -250","derived bounds center","true","bounds","x[168…212] y[50…90] z[-272…-228]","Detention Pond and Ecology Walk","wft_1fce4a39e26be67e"
"Surface builds","Mainstreet America","B02","Retail & Cooking School","building","complete","-110, 68, -95","/tp @s -110 68 -95","derived bounds center","true","bounds","x[-133…-88] y[63…72] z[-118…-73]","Culinary Pavilion","wft_d5f112a0125aab51"
"Surface builds","Mainstreet America","B03","Service Warehouse","building","complete","0, 68, -255","/tp @s 0 68 -255","derived bounds center","true","bounds","x[-24…23] y[63…73] z[-278…-232]","Service and Warehouse Compound","wft_e4052b90251b7e57"
"Surface builds","Mainstreet America","P01-SOUTH-ARCH-276","South-arrival arch at z276","landmark","complete","0, 71, 276","/tp @s 0 71 276","derived bounds center","true","bounds","x[-10…10] y[68…73] z[276]","Visitor parking and Arrival Gardens","wft_d15f241968ed1c2c"
"Surface builds","Mainstreet America","P01-SOUTH-ARCH-288","South-arrival arch at z288","landmark","complete","0, 75, 288","/tp @s 0 75 288","derived bounds center","true","bounds","x[-10…10] y[72…77] z[288]","Visitor parking and Arrival Gardens","wft_f725265b40f54f6f"
"Surface builds","Mainstreet America","P01-SOUTH-ARCH-300","South-arrival arch at z300","landmark","complete","0, 80, 300","/tp @s 0 80 300","derived bounds center","true","bounds","x[-10…10] y[77…82] z[300]","Visitor parking and Arrival Gardens","wft_5bffdb6599f152c9"
"Surface builds","Mainstreet America","P01-GARDEN-SOUTH-ARRIVAL","South-arrival flowering retaining gardens","landscape","complete","0, 77, 284","/tp @s 0 77 284","derived bounds center","true","bounds","x[-11…11] y[65…88] z[268…300]","Visitor parking and Arrival Gardens","wft_79949d35dc7a0df5"
"Surface builds","Mainstreet America","P01-GARDEN-RAIN-SOUTHEAST","Southeast rain garden","landscape","complete","110, 65, 243","/tp @s 110 65 243","derived bounds center","true","bounds","x[100…119] y[64…65] z[240…245]","Visitor parking and Arrival Gardens","wft_f8d589582937add9"
"Surface builds","Mainstreet America","GRID-E2-WALLED-GARDEN","Terraced walled garden rooms","landscape","complete","97, 83, -21","/tp @s 97 83 -21","derived bounds center","true","bounds","x[88…106] y[80…85] z[-45…2]","Neighborhood Clubhouse","wft_0693a75ed223dccb"
"Surface builds","Mainstreet America","H01","The Alexandria","building","complete","-34, 76, 55","/tp @s -34 76 55","derived bounds center","true","bounds","x[-46…-23] y[63…88] z[44…65]","West South Homes","wft_58ed611668863441"
"Surface builds","Mainstreet America","ROOM:H01:formal_dining","The Alexandria — formal dining","room","complete","-40, 67, 61","/tp @s -40 67 61","derived bounds center","true","bounds","x[-45…-35] y[65…68] z[58…64]","The Alexandria","wft_50d0c08ef47888d0"
"Surface builds","Mainstreet America","ROOM:H01:formal_living","The Alexandria — formal living","room","complete","-40, 67, 49","/tp @s -40 67 49","derived bounds center","true","bounds","x[-45…-35] y[65…68] z[45…52]","The Alexandria","wft_cc247b4bb82b4949"
"Surface builds","Mainstreet America","ROOM:H01:grand_foyer","The Alexandria — grand foyer","room","complete","-29, 67, 55","/tp @s -29 67 55","derived bounds center","true","bounds","x[-34…-24] y[65…68] z[53…57]","The Alexandria","wft_5377e4a4896a59e0"
"Surface builds","Mainstreet America","ROOM:H01:kitchen_breakfast","The Alexandria — kitchen breakfast","room","complete","-28, 67, 49","/tp @s -28 67 49","derived bounds center","true","bounds","x[-33…-24] y[65…68] z[45…52]","The Alexandria","wft_dab0b0d86dc640a4"
"Surface builds","Mainstreet America","ROOM:H01:library","The Alexandria — library","room","complete","-40, 72, 50","/tp @s -40 72 50","derived bounds center","true","bounds","x[-45…-35] y[70…73] z[45…55]","The Alexandria","wft_2c453f61d1478866"
"Surface builds","Mainstreet America","ROOM:H01:media_bonus","The Alexandria — media bonus","room","complete","-34, 77, 55","/tp @s -34 77 55","derived bounds center","true","bounds","x[-45…-24] y[75…78] z[45…64]","The Alexandria","wft_f1e3cf996c91a945"
"Surface builds","Mainstreet America","ROOM:H01:primary_suite","The Alexandria — primary suite","room","complete","-29, 72, 55","/tp @s -29 72 55","derived bounds center","true","bounds","x[-34…-24] y[70…73] z[45…64]","The Alexandria","wft_2f00247ed70013d2"
"Surface builds","Mainstreet America","H03","The Ashby Manor","building","complete","-34, ~, -45","/tp @s -34 ~ -45","derived bounds center","true","bounds","x[-46…-23] y[63…96] z[-56…-34]","West Middle Homes","wft_81bbc36aa0d3a665"
"Surface builds","Mainstreet America","ROOM:H03:great_hall","The Ashby Manor — great hall","room","complete","-39, 67, -49","/tp @s -39 67 -49","derived bounds center","true","bounds","x[-45…-33] y[65…68] z[-55…-43]","The Ashby Manor","wft_ca20c419e9cb487b"
"Surface builds","Mainstreet America","ROOM:H03:guest_gallery","The Ashby Manor — guest gallery","room","complete","-29, 72, -45","/tp @s -29 72 -45","derived bounds center","true","bounds","x[-34…-24] y[70…73] z[-55…-35]","The Ashby Manor","wft_bce90db237846e86"
"Surface builds","Mainstreet America","ROOM:H03:kitchen_scullery","The Ashby Manor — kitchen scullery","room","complete","-28, 67, -52","/tp @s -28 67 -52","derived bounds center","true","bounds","x[-32…-24] y[65…68] z[-55…-49]","The Ashby Manor","wft_0c7474ca1db11260"
"Surface builds","Mainstreet America","ROOM:H03:library","The Ashby Manor — library","room","complete","-40, 67, -38","/tp @s -40 67 -38","derived bounds center","true","bounds","x[-45…-36] y[65…68] z[-42…-35]","The Ashby Manor","wft_85469dc78e457115"
"Surface builds","Mainstreet America","ROOM:H03:primary_suite","The Ashby Manor — primary suite","room","complete","-40, 72, -45","/tp @s -40 72 -45","derived bounds center","true","bounds","x[-45…-35] y[70…73] z[-55…-35]","The Ashby Manor","wft_0b402c7a87e7e8f7"
"Surface builds","Mainstreet America","ROOM:H03:stone_entry","The Ashby Manor — stone entry","room","complete","-28, 67, -45","/tp @s -28 67 -45","derived bounds center","true","bounds","x[-32…-24] y[65…68] z[-48…-43]","The Ashby Manor","wft_1d784f3d84342c0b"
"Surface builds","Mainstreet America","H08","The Calais","building","complete","32, ~, 5","/tp @s 32 ~ 5","derived bounds center","true","bounds","x[20…43] y[63…96] z[-5…15]","East Middle Homes","wft_7c0b60e5b0bee250"
"Surface builds","Mainstreet America","ROOM:H08:dining","The Calais — dining","room","complete","27, 67, 12","/tp @s 27 67 12","derived bounds center","true","bounds","x[21…32] y[65…68] z[9…14]","The Calais","wft_2972408c28fb6916"
"Surface builds","Mainstreet America","ROOM:H08:guest_suite","The Calais — guest suite","room","complete","38, 72, 5","/tp @s 38 72 5","derived bounds center","true","bounds","x[33…42] y[70…73] z[-4…14]","The Calais","wft_b44654c274963b56"
"Surface builds","Mainstreet America","ROOM:H08:kitchen","The Calais — kitchen","room","complete","38, 67, 12","/tp @s 38 67 12","derived bounds center","true","bounds","x[33…42] y[65…68] z[9…14]","The Calais","wft_db321a8a6563b880"
"Surface builds","Mainstreet America","ROOM:H08:primary_suite","The Calais — primary suite","room","complete","27, 72, 5","/tp @s 27 72 5","derived bounds center","true","bounds","x[21…32] y[70…73] z[-4…14]","The Calais","wft_58250bebb0f59c80"
"Surface builds","Mainstreet America","ROOM:H08:salon","The Calais — salon","room","complete","36, 67, 2","/tp @s 36 67 2","derived bounds center","true","bounds","x[29…42] y[65…68] z[-4…8]","The Calais","wft_fce858aef37020e5"
"Surface builds","Mainstreet America","ROOM:H08:vestibule","The Calais — vestibule","room","complete","25, 67, 6","/tp @s 25 67 6","derived bounds center","true","bounds","x[21…28] y[65…68] z[3…8]","The Calais","wft_2c8cdaa324beb1f7"
"Surface builds","Mainstreet America","H02","The Cape Pointe","building","complete","-34, 74, 5","/tp @s -34 74 5","derived bounds center","true","bounds","x[-41…-27] y[63…84] z[-2…12]","West Middle Homes","wft_cc90ce8181c775b7"
"Surface builds","Mainstreet America","ROOM:H02:entry_porch","The Cape Pointe — entry porch","room","complete","-29, 67, 5","/tp @s -29 67 5","derived bounds center","true","bounds","x[-31…-28] y[65…68] z[3…7]","The Cape Pointe","wft_eaacf8ca4191dbe6"
"Surface builds","Mainstreet America","ROOM:H02:great_room","The Cape Pointe — great room","room","complete","-36, 67, 8","/tp @s -36 67 8","derived bounds center","true","bounds","x[-40…-32] y[65…68] z[4…11]","The Cape Pointe","wft_80722a5eefca8ac8"
"Surface builds","Mainstreet America","ROOM:H02:guest_bedroom","The Cape Pointe — guest bedroom","room","complete","-29, 67, 10","/tp @s -29 67 10","derived bounds center","true","bounds","x[-31…-28] y[65…68] z[8…11]","The Cape Pointe","wft_a7c4e2544f030f8e"
"Surface builds","Mainstreet America","ROOM:H02:kitchen_dining","The Cape Pointe — kitchen dining","room","complete","-36, 67, 1","/tp @s -36 67 1","derived bounds center","true","bounds","x[-40…-32] y[65…68] z[-1…3]","The Cape Pointe","wft_b549f8560230e35e"
"Surface builds","Mainstreet America","ROOM:H02:primary_loft","The Cape Pointe — primary loft","room","complete","-34, 72, 5","/tp @s -34 72 5","derived bounds center","true","bounds","x[-40…-28] y[70…73] z[-1…11]","The Cape Pointe","wft_ec1355ae737bd281"
"Surface builds","Mainstreet America","H09","The Casa Lana","building","complete","32, 69, -45","/tp @s 32 69 -45","derived bounds center","true","bounds","x[18…46] y[63…74] z[-59…-31]","East Middle Homes","wft_964390a4063688ba"
"Surface builds","Mainstreet America","ROOM:H09:central_sala","The Casa Lana — central sala","room","complete","32, 67, -45","/tp @s 32 67 -45","derived bounds center","true","bounds","x[26…37] y[65…68] z[-52…-38]","The Casa Lana","wft_ba6f7f127e3f8f3e"
"Surface builds","Mainstreet America","ROOM:H09:guest_wing","The Casa Lana — guest wing","room","complete","32, 67, -34","/tp @s 32 67 -34","derived bounds center","true","bounds","x[19…45] y[65…68] z[-37…-32]","The Casa Lana","wft_d8179aaf206f9f55"
"Surface builds","Mainstreet America","ROOM:H09:kitchen_dining","The Casa Lana — kitchen dining","room","complete","42, 67, -51","/tp @s 42 67 -51","derived bounds center","true","bounds","x[38…45] y[65…68] z[-58…-45]","The Casa Lana","wft_b94c9d56cbee0642"
"Surface builds","Mainstreet America","ROOM:H09:primary_suite","The Casa Lana — primary suite","room","complete","25, 67, -55","/tp @s 25 67 -55","derived bounds center","true","bounds","x[19…31] y[65…68] z[-58…-53]","The Casa Lana","wft_fed7ccd1190ad812"
"Surface builds","Mainstreet America","ROOM:H09:zaguan_entry","The Casa Lana — zaguan entry","room","complete","22, 67, -45","/tp @s 22 67 -45","derived bounds center","true","bounds","x[19…25] y[65…68] z[-49…-41]","The Casa Lana","wft_99b79f2011dd20c6"
"Surface builds","Mainstreet America","H04","The Centennial","building","complete","-34, ~, -95","/tp @s -34 ~ -95","derived bounds center","true","bounds","x[-43…-25] y[63…96] z[-104…-86]","West North Homes","wft_a47b3a39d6df06b5"
"Surface builds","Mainstreet America","ROOM:H04:covered_entry","The Centennial — covered entry","room","complete","-28, 67, -95","/tp @s -28 67 -95","derived bounds center","true","bounds","x[-30…-26] y[65…68] z[-98…-92]","The Centennial","wft_2f9c8d682fab3aad"
"Surface builds","Mainstreet America","ROOM:H04:kitchen_dining","The Centennial — kitchen dining","room","complete","-37, 67, -90","/tp @s -37 67 -90","derived bounds center","true","bounds","x[-42…-32] y[65…68] z[-93…-87]","The Centennial","wft_303414a49229395c"
"Surface builds","Mainstreet America","ROOM:H04:living_hearth","The Centennial — living hearth","room","complete","-37, 67, -98","/tp @s -37 67 -98","derived bounds center","true","bounds","x[-42…-32] y[65…68] z[-103…-94]","The Centennial","wft_535f4b84549ad6cd"
"Surface builds","Mainstreet America","ROOM:H04:primary_suite","The Centennial — primary suite","room","complete","-38, 72, -95","/tp @s -38 72 -95","derived bounds center","true","bounds","x[-42…-34] y[70…73] z[-103…-87]","The Centennial","wft_e7957d676a753026"
"Surface builds","Mainstreet America","ROOM:H04:secondary_bedrooms","The Centennial — secondary bedrooms","room","complete","-29, 72, -95","/tp @s -29 72 -95","derived bounds center","true","bounds","x[-33…-26] y[70…73] z[-103…-87]","The Centennial","wft_7aee8d0a726d1990"
"Surface builds","Mainstreet America","ROOM:H04:study","The Centennial — study","room","complete","-28, 67, -101","/tp @s -28 67 -101","derived bounds center","true","bounds","x[-31…-26] y[65…68] z[-103…-99]","The Centennial","wft_d0272133690a583c"
"Surface builds","Mainstreet America","H10","The Cross Creek","building","complete","32, 71, -95","/tp @s 32 71 -95","derived bounds center","true","bounds","x[18…45] y[63…78] z[-109…-81]","East North Homes","wft_7265b0c4104fb0ce"
"Surface builds","Mainstreet America","ROOM:H10:great_room","The Cross Creek — great room","room","complete","32, 67, -95","/tp @s 32 67 -95","derived bounds center","true","bounds","x[26…37] y[65…68] z[-103…-87]","The Cross Creek","wft_f828c6b78d791d7f"
"Surface builds","Mainstreet America","ROOM:H10:guest_wing","The Cross Creek — guest wing","room","complete","32, 67, -84","/tp @s 32 67 -84","derived bounds center","true","bounds","x[19…44] y[65…68] z[-86…-82]","The Cross Creek","wft_f62c4c470db3eb13"
"Surface builds","Mainstreet America","ROOM:H10:kitchen_dining","The Cross Creek — kitchen dining","room","complete","41, 67, -98","/tp @s 41 67 -98","derived bounds center","true","bounds","x[38…44] y[65…68] z[-108…-88]","The Cross Creek","wft_fa8b82fe136e226e"
"Surface builds","Mainstreet America","ROOM:H10:primary_suite","The Cross Creek — primary suite","room","complete","26, 67, -106","/tp @s 26 67 -106","derived bounds center","true","bounds","x[19…32] y[65…68] z[-108…-104]","The Cross Creek","wft_b89290c175759916"
"Surface builds","Mainstreet America","ROOM:H10:stone_foyer","The Cross Creek — stone foyer","room","complete","22, 67, -95","/tp @s 22 67 -95","derived bounds center","true","bounds","x[19…25] y[65…68] z[-99…-91]","The Cross Creek","wft_d0adc1bfc1bc6be5"
"Surface builds","Mainstreet America","H11","The Midtown","building","complete","32, 76, -145","/tp @s 32 76 -145","derived bounds center","true","bounds","x[26…38] y[63…88] z[-151…-140]","East North Homes","wft_91b457f7af1e5e3a"
"Surface builds","Mainstreet America","ROOM:H11:bedroom_suite","The Midtown — bedroom suite","room","complete","32, 77, -146","/tp @s 32 77 -146","derived bounds center","true","bounds","x[27…37] y[75…78] z[-150…-142]","The Midtown","wft_ab0940a92f151ea1"
"Surface builds","Mainstreet America","ROOM:H11:living_kitchen","The Midtown — living kitchen","room","complete","32, 72, -146","/tp @s 32 72 -146","derived bounds center","true","bounds","x[27…37] y[70…73] z[-150…-142]","The Midtown","wft_582bf89def5285d7"
"Surface builds","Mainstreet America","ROOM:H11:lobby_studio","The Midtown — lobby studio","room","complete","32, 67, -146","/tp @s 32 67 -146","derived bounds center","true","bounds","x[27…37] y[65…68] z[-150…-142]","The Midtown","wft_d3a8a17b1efc7b22"
"Surface builds","Mainstreet America","ROOM:H11:roof_lounge","The Midtown — roof lounge","room","complete","32, 82, -146","/tp @s 32 82 -146","derived bounds center","true","bounds","x[27…37] y[80…83] z[-150…-142]","The Midtown","wft_b2ee3fe28505ee34"
"Surface builds","Mainstreet America","H05","The Timbergrove","building","complete","-34, 71, -145","/tp @s -34 71 -145","derived bounds center","true","bounds","x[-46…-22] y[63…78] z[-157…-133]","West North Homes","wft_fe55254d7f73c2c9"
"Surface builds","Mainstreet America","ROOM:H05:family_room","The Timbergrove — family room","room","complete","-34, 67, -145","/tp @s -34 67 -145","derived bounds center","true","bounds","x[-38…-30] y[65…68] z[-152…-138]","The Timbergrove","wft_6f2571605ad23e67"
"Surface builds","Mainstreet America","ROOM:H05:foyer","The Timbergrove — foyer","room","complete","-26, 67, -145","/tp @s -26 67 -145","derived bounds center","true","bounds","x[-29…-23] y[65…68] z[-149…-141]","The Timbergrove","wft_b8f14bfac8150063"
"Surface builds","Mainstreet America","ROOM:H05:guest_wing","The Timbergrove — guest wing","room","complete","-30, 67, -135","/tp @s -30 67 -135","derived bounds center","true","bounds","x[-38…-23] y[65…68] z[-137…-134]","The Timbergrove","wft_459b0aa9609bb94b"
"Surface builds","Mainstreet America","ROOM:H05:kitchen_dining","The Timbergrove — kitchen dining","room","complete","-42, 67, -145","/tp @s -42 67 -145","derived bounds center","true","bounds","x[-45…-39] y[65…68] z[-156…-134]","The Timbergrove","wft_3c67a85b2f159499"
"Surface builds","Mainstreet America","ROOM:H05:primary_suite","The Timbergrove — primary suite","room","complete","-26, 67, -153","/tp @s -26 67 -153","derived bounds center","true","bounds","x[-29…-23] y[65…68] z[-156…-150]","The Timbergrove","wft_27bd2f522a1b4f07"
"Surface builds","Mainstreet America","H12","The Valencia","building","complete","32, 71, -195","/tp @s 32 71 -195","derived bounds center","true","bounds","x[21…42] y[63…78] z[-205…-185]","East North Homes","wft_30794b58f4b95436"
"Surface builds","Mainstreet America","ROOM:H12:arched_entry","The Valencia — arched entry","room","complete","25, 67, -195","/tp @s 25 67 -195","derived bounds center","true","bounds","x[22…27] y[65…68] z[-198…-192]","The Valencia","wft_3ba7b4cb38c23399"
"Surface builds","Mainstreet America","ROOM:H12:guest_suite","The Valencia — guest suite","room","complete","32, 67, -188","/tp @s 32 67 -188","derived bounds center","true","bounds","x[22…41] y[65…68] z[-191…-186]","The Valencia","wft_3d7d09c556bb071e"
"Surface builds","Mainstreet America","ROOM:H12:kitchen_dining","The Valencia — kitchen dining","room","complete","39, 67, -198","/tp @s 39 67 -198","derived bounds center","true","bounds","x[36…41] y[65…68] z[-204…-193]","The Valencia","wft_248f8d6e63184c81"
"Surface builds","Mainstreet America","ROOM:H12:primary_suite","The Valencia — primary suite","room","complete","29, 67, -201","/tp @s 29 67 -201","derived bounds center","true","bounds","x[22…35] y[65…68] z[-204…-199]","The Valencia","wft_765371725c71197c"
"Surface builds","Mainstreet America","ROOM:H12:tiled_sala","The Valencia — tiled sala","room","complete","32, 67, -195","/tp @s 32 67 -195","derived bounds center","true","bounds","x[28…35] y[65…68] z[-203…-188]","The Valencia","wft_795470715dabea50"
"Surface builds","Mainstreet America","H07","The Villa Lago","building","complete","32, 74, 55","/tp @s 32 74 55","derived bounds center","true","bounds","x[18…45] y[63…84] z[42…68]","East South Homes","wft_53fe21e9fc935a9d"
"Surface builds","Mainstreet America","ROOM:H07:arched_foyer","The Villa Lago — arched foyer","room","complete","22, 67, 55","/tp @s 22 67 55","derived bounds center","true","bounds","x[19…25] y[65…68] z[52…58]","The Villa Lago","wft_ba02c864633dfb55"
"Surface builds","Mainstreet America","ROOM:H07:great_room","The Villa Lago — great room","room","complete","40, 67, 51","/tp @s 40 67 51","derived bounds center","true","bounds","x[35…44] y[65…68] z[43…59]","The Villa Lago","wft_c771801e579f33e3"
"Surface builds","Mainstreet America","ROOM:H07:guest_gallery","The Villa Lago — guest gallery","room","complete","39, 72, 55","/tp @s 39 72 55","derived bounds center","true","bounds","x[33…44] y[70…73] z[43…67]","The Villa Lago","wft_8d52e53d9a8fd1c5"
"Surface builds","Mainstreet America","ROOM:H07:kitchen_dining","The Villa Lago — kitchen dining","room","complete","32, 67, 64","/tp @s 32 67 64","derived bounds center","true","bounds","x[19…44] y[65…68] z[60…67]","The Villa Lago","wft_02941332b2c12f0e"
"Surface builds","Mainstreet America","ROOM:H07:primary_suite","The Villa Lago — primary suite","room","complete","26, 72, 55","/tp @s 26 72 55","derived bounds center","true","bounds","x[19…32] y[70…73] z[43…67]","The Villa Lago","wft_8c7b4b78782588e2"
"Surface builds","Mainstreet America","ROOM:H07:tiled_court","The Villa Lago — tiled court","room","complete","30, 67, 55","/tp @s 30 67 55","derived bounds center","true","bounds","x[26…34] y[65…68] z[51…59]","The Villa Lago","wft_f82a0673e2e1e82b"
"Surface builds","Mainstreet America","H06","The Wakefield","building","complete","-34, 71, -195","/tp @s -34 71 -195","derived bounds center","true","bounds","x[-47…-22] y[63…78] z[-207…-183]","West North Homes","wft_6d381a7084e72668"
"Surface builds","Mainstreet America","ROOM:H06:center_hall","The Wakefield — center hall","room","complete","-28, 67, -195","/tp @s -28 67 -195","derived bounds center","true","bounds","x[-33…-23] y[65…68] z[-206…-184]","The Wakefield","wft_afad02226e2d2b8e"
"Surface builds","Mainstreet America","ROOM:H06:family_kitchen","The Wakefield — family kitchen","room","complete","-27, 67, -200","/tp @s -27 67 -200","derived bounds center","true","bounds","x[-32…-23] y[65…68] z[-206…-194]","The Wakefield","wft_bee65aebef1646fb"
"Surface builds","Mainstreet America","ROOM:H06:formal_dining","The Wakefield — formal dining","room","complete","-40, 67, -189","/tp @s -40 67 -189","derived bounds center","true","bounds","x[-46…-34] y[65…68] z[-195…-184]","The Wakefield","wft_42c1d5cca16fdc2b"
"Surface builds","Mainstreet America","ROOM:H06:formal_living","The Wakefield — formal living","room","complete","-40, 67, -201","/tp @s -40 67 -201","derived bounds center","true","bounds","x[-46…-34] y[65…68] z[-206…-196]","The Wakefield","wft_1ac5bfbd5094c24e"
"Surface builds","Mainstreet America","ROOM:H06:primary_suite","The Wakefield — primary suite","room","complete","-27, 67, -188","/tp @s -27 67 -188","derived bounds center","true","bounds","x[-32…-23] y[65…68] z[-193…-184]","The Wakefield","wft_06d0ed907e6b280f"
"Surface builds","Mainstreet America","C04","West Brick Courtyard Home","building","complete","-70, 70, -70","/tp @s -70 70 -70","derived bounds center","true","bounds","x[-78…-62] y[64…75] z[-79…-61]","","wft_4d26c59665b579c9"
"Surface builds","Mainstreet America","P01-GARDEN-WEST","West formal Arrival Garden","landscape","complete","-12, 68, 200","/tp @s -12 68 200","derived bounds center","true","bounds","x[-18…-6] y[64…72] z[181…218]","Visitor parking and Arrival Gardens","wft_7a37062f74479fba"
"Surface builds","Mainstreet America","C02","West Garden Villa","building","complete","-70, 70, 30","/tp @s -70 70 30","derived bounds center","true","bounds","x[-78…-62] y[64…75] z[21…39]","","wft_7a8e47af35c1a0f7"
"Surface builds","Mainstreet America","P01-CANOPY-WEST","west solar ev canopy","building","complete","-100, 68, 261","/tp @s -100 68 261","derived bounds center","true","bounds","x[-116…-84] y[65…71] z[256…266]","Visitor parking and Arrival Gardens","wft_0318346a5a13994b"
"Surface builds","Mainstreet America","C06","West Timber Lodge","building","complete","-70, 70, -170","/tp @s -70 70 -170","derived bounds center","true","bounds","x[-78…-62] y[64…75] z[-179…-161]","","wft_a996aed935c45d5c"
"Remote sites","Ravensgate","RG-LOGGIA","Library loggia","building","complete","-110, 69, -438","/tp @s -110 69 -438","catalog entrance","false","bounds","x[-111…-106] y[68…78] z[-447…-433]","Ravensgate","wft_fcb8bbfaab3ae28c"
"Remote sites","Ravensgate","RG-TEMPIETTO","Long Water tempietto","building","complete","-85, 69, -552","/tp @s -85 69 -552","catalog entrance","false","bounds","x[-93…-77] y[68…82] z[-562…-551]","Ravensgate","wft_e5ed85abc16e9dbc"
"Remote sites","Ravensgate","RG-STOA","South stoa","building","complete","-85, 69, -431","/tp @s -85 69 -431","catalog entrance","false","bounds","x[-105…-65] y[68…78] z[-431…-426]","Ravensgate","wft_2e17416554088936"
"Remote sites","Ravensreach","RRCH-ARCHITECT","Architect cottage","building","complete","-112, 68, -375","/tp @s -112 68 -375","catalog entrance","false","bounds","x[-124…-112] y[67…77] z[-380…-370]","Ravensreach","wft_220824ed60db1af7"
